Vehicle;Load;Num_v;Ef;Eo
V1;16000;1;0.931;0.586
V2;8000;5;0.635;0.471
V3;4180;2;0.389;0.316
;;;;
;;;;
Node;coord_x;coord_y;prod;
P;36;43;0;
F1;11;53;1186;
F2;64;74;2879;
F3;6;5;1040;
F4;78;18;796;
F5;36;39;799;
F6;51;24;2147;
F7;37;26;646;
F8;48;28;1106;
F9;68;59;360;
F10;79;43;1480;
F11;40;77;1804;
F12;9;53;706;
F13;73;36;1661;
F14;52;1;3151;
F15;1;55;1408;
F16;69;40;504;
F17;70;78;398;
F18;62;33;924;
F19;74;39;461;
F20;21;24;2218;
F21;26;0;1099;
F22;19;57;1604;
F23;21;54;3490;
F24;50;51;1585;
F25;34;22;1442;
F26;1;69;607;
F27;64;68;332;
F28;74;25;953;
F29;39;13;1638;
F30;77;48;324;
F31;4;69;710;
F32;0;11;1830;
F33;15;60;906;
F34;15;74;3851;
F35;52;63;988;
