Vehicle;Load;Num_v;Ef;Eo
V1;16000;3;0.931;0.586
V2;8000;1;0.635;0.471
V3;4180;2;0.389;0.316
;;;;
;;;;
Node;coord_x;coord_y;prod;
P;54;52;0;
F1;16;92;1777;
F2;26;72;894;
F3;50;62;924;
F4;82;63;726;
F5;58;56;721;
F6;32;50;451;
F7;60;93;567;
F8;29;54;591;
F9;64;63;1196;
F10;80;66;446;
F11;26;18;1576;
F12;98;53;666;
F13;31;5;582;
F14;90;58;552;
F15;78;7;411;
F16;83;89;422;
F17;65;68;756;
F18;15;40;3196;
F19;97;82;431;
F20;78;16;771;
F21;58;60;465;
F22;82;52;1148;
F23;94;59;1368;
F24;40;18;1578;
F25;68;14;914;
F26;59;66;1087;
F27;93;57;546;
F28;22;40;2050;
F29;66;85;580;
F30;91;56;555;
F31;30;60;1457;
F32;76;14;458;
F33;29;29;612;
F34;82;59;4226;
F35;23;55;447;
F36;42;5;4160;
F37;28;30;1309;
F38;92;56;1137;
F39;75;62;541;
F40;27;92;1505;
F41;84;21;503;
F42;32;20;739;
F43;63;88;2264;
F44;51;95;1148;
F45;60;60;497;
F46;16;43;1301;
F47;27;50;509;
F48;66;89;1194;
F49;13;90;586;
F50;31;15;402;
