Vehicle;Load;Num_v;Ef;Eo
V1;16000;2;0.931;0.586
V2;8000;1;0.635;0.471
V3;4180;5;0.389;0.316
;;;;
;;;;
Node;coord_x;coord_y;prod;
P;40;40;0;
F1;30;17;864;
F2;61;5;490;
F3;79;58;314;
F4;20;55;576;
F5;60;51;855;
F6;22;61;1519;
F7;78;75;4504;
F8;58;10;469;
F9;55;64;1743;
F10;25;56;1569;
F11;50;29;536;
F12;21;58;4676;
F13;74;43;1074;
F14;28;4;1091;
F15;17;70;1387;
F16;5;6;1005;
F17;7;25;484;
F18;11;34;677;
F19;71;33;615;
F20;66;62;1366;
F21;0;60;689;
F22;75;9;1418;
F23;13;17;618;
F24;1;74;851;
F25;53;7;618;
F26;24;54;1716;
F27;21;35;838;
F28;59;76;818;
F29;58;76;701;
F30;52;32;2676;
F31;37;56;1027;
F32;78;27;1004;
F33;5;6;1150;
F34;67;34;529;
F35;37;69;1682;
