Vehicle;Load;Num_v;Ef;Eo
V1;16000;2;0.931;0.586
V2;8000;1;0.635;0.471
V3;4180;4;0.389;0.316
;;;;
;;;;
Node;coord_x;coord_y;prod;
P;41;37;0;
F1;74;48;305;
F2;27;6;814;
F3;27;40;716;
F4;58;63;341;
F5;65;69;1194;
F6;23;34;744;
F7;23;65;1239;
F8;41;75;1126;
F9;54;10;811;
F10;59;6;1023;
F11;15;14;2787;
F12;78;51;1096;
F13;67;56;983;
F14;58;5;3063;
F15;32;7;814;
F16;15;6;329;
F17;41;15;1683;
F18;28;9;3929;
F19;65;65;2123;
F20;69;48;3634;
F21;22;52;791;
F22;23;9;835;
F23;25;13;470;
F24;27;67;514;
F25;78;58;1363;
F26;25;33;1406;
F27;63;17;1850;
F28;25;14;404;
F29;72;44;1782;
F30;42;61;792;
F31;57;53;1388;
F32;41;79;527;
F33;40;9;3247;
F34;36;8;382;
F35;27;52;1595;
