Vehicle,Load,Num_v,Ef,Eo
V1,16000,3,0.931,0.586
V2,8000,2,0.635,0.471
V3,4180,5,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,12,2,0,
F1,22,79,317,
F2,78,65,1128,
F3,98,22,1730,
F4,88,97,756,
F5,46,15,621,
F6,68,66,664,
F7,49,46,768,
F8,51,69,1330,
F9,19,48,4369,
F10,89,74,1537,
F11,94,61,1538,
F12,66,48,1750,
F13,72,39,538,
F14,76,12,445,
F15,84,26,2283,
F16,61,65,1148,
F17,56,75,1017,
F18,95,88,367,
F19,32,32,1190,
F20,56,16,561,
F21,94,61,872,
F22,30,43,482,
F23,86,37,368,
F24,18,37,616,
F25,95,39,724,
F26,66,39,727,
F27,46,65,1841,
F28,30,32,428,
F29,52,45,863,
F30,46,90,454,
F31,53,97,2378,
F32,96,81,1045,
F33,15,20,2578,
F34,58,66,742,
F35,80,37,427,
F36,94,63,953,
F37,96,20,1221,
F38,92,20,739,
F39,64,35,1662,
F40,16,14,2493,
F41,33,16,857,
F42,91,85,1009,
F43,63,12,1622,
F44,39,69,4950,
F45,68,61,578,
F46,21,17,620,
F47,71,57,582,
F48,37,14,321,
F49,60,10,652,
F50,90,31,1004,
