Vehicle,Load,Num_v,Ef,Eo
V1,16000,2,0.931,0.586
V2,8000,5,0.635,0.471
V3,4180,1,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,45,51,0,
F1,62,71,361,
F2,25,43,665,
F3,90,90,2248,
F4,62,65,446,
F5,29,50,398,
F6,57,62,632,
F7,35,9,968,
F8,89,84,2804,
F9,17,13,535,
F10,23,49,639,
F11,71,87,459,
F12,35,6,1112,
F13,28,24,395,
F14,40,11,1516,
F15,67,5,1341,
F16,58,97,1138,
F17,64,76,1462,
F18,62,60,590,
F19,12,48,3903,
F20,12,83,394,
F21,57,59,1272,
F22,76,60,477,
F23,16,85,516,
F24,84,84,827,
F25,76,67,1204,
F26,33,40,565,
F27,93,54,1706,
F28,63,15,2312,
F29,51,16,765,
F30,80,13,691,
F31,31,42,313,
F32,85,59,1986,
F33,71,93,2076,
F34,29,38,740,
F35,89,76,1430,
F36,13,92,2162,
F37,52,81,1064,
F38,33,5,345,
F39,18,86,2327,
F40,32,24,1137,
F41,73,95,1722,
F42,60,99,4230,
F43,17,13,381,
F44,57,66,1328,
F45,31,64,389,
F46,11,91,1217,
F47,65,62,767,
F48,26,59,887,
F49,79,21,2657,
F50,16,78,501,
