Vehicle,Load,Num_v,Ef,Eo
V1,16000,3,0.931,0.586
V2,8000,1,0.635,0.471
V3,4180,5,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,11,17,0,
F1,47,6,1470,
F2,78,54,1020,
F3,55,73,786,
F4,11,53,1773,
F5,62,11,437,
F6,66,88,1261,
F7,45,15,1335,
F8,74,96,1493,
F9,76,56,2263,
F10,78,67,1637,
F11,34,9,919,
F12,24,39,913,
F13,48,9,1073,
F14,62,62,309,
F15,89,15,3113,
F16,17,19,911,
F17,89,94,978,
F18,90,60,743,
F19,69,60,976,
F20,49,15,617,
F21,56,98,595,
F22,24,27,2543,
F23,18,52,341,
F24,18,78,1352,
F25,32,80,717,
F26,85,75,394,
F27,86,51,461,
F28,66,9,1281,
F29,90,97,606,
F30,56,15,343,
F31,20,54,4522,
F32,55,58,482,
F33,46,10,945,
F34,65,84,1353,
F35,53,20,463,
F36,67,18,618,
F37,50,17,409,
F38,81,21,920,
F39,23,23,1366,
F40,28,68,776,
F41,31,74,2465,
F42,34,28,2458,
F43,16,61,372,
F44,19,50,715,
F45,56,10,2005,
F46,24,73,1532,
F47,94,72,884,
F48,47,14,2449,
F49,99,80,2897,
F50,18,41,3574,
