Vehicle,Load,Num_v,Ef,Eo
V1,16000,3,0.931,0.586
V2,8000,4,0.635,0.471
V3,4180,4,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,51,52,0,
F1,94,33,304,
F2,37,80,346,
F3,25,94,4551,
F4,50,89,324,
F5,46,87,782,
F6,41,86,807,
F7,33,85,1725,
F8,44,96,3881,
F9,65,2,1009,
F10,67,43,2670,
F11,25,83,3916,
F12,74,30,3818,
F13,96,42,3873,
F14,81,76,1351,
F15,83,59,863,
F16,5,76,4785,
F17,36,98,1071,
F18,89,17,1483,
F19,63,2,1080,
F20,30,38,1422,
F21,96,89,354,
F22,11,25,1176,
F23,71,45,561,
F24,46,59,1262,
F25,25,24,505,
F26,62,82,4224,
F27,41,23,1094,
F28,60,13,963,
F29,54,78,1259,
F30,62,53,1233,
F31,94,57,1997,
F32,90,93,1171,
F33,38,56,311,
F34,15,25,491,
F35,77,63,1783,
F36,40,60,1812,
F37,94,90,2048,
F38,45,97,540,
F39,96,67,554,
F40,8,12,2352,
F41,35,83,431,
F42,51,14,2135,
F43,50,41,778,
F44,62,45,772,
F45,5,76,793,
F46,42,46,3234,
F47,96,96,2796,
F48,69,51,1099,
F49,69,18,522,
F50,4,99,372,
