Vehicle,Load,Num_v,Ef,Eo
V1,16000,2,0.931,0.586
V2,8000,3,0.635,0.471
V3,4180,3,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,44,41,0,
F1,15,57,705,
F2,65,5,1882,
F3,23,47,699,
F4,23,58,1288,
F5,8,22,1597,
F6,44,46,3097,
F7,19,34,470,
F8,7,70,743,
F9,16,71,378,
F10,7,24,850,
F11,60,29,1474,
F12,22,11,2879,
F13,65,60,872,
F14,39,35,982,
F15,12,13,1361,
F16,73,75,3051,
F17,62,25,725,
F18,77,66,1028,
F19,71,0,1468,
F20,32,48,3213,
F21,3,32,1008,
F22,48,46,583,
F23,75,79,923,
F24,79,31,1455,
F25,51,63,4047,
F26,43,79,998,
F27,33,78,439,
F28,57,0,500,
F29,18,72,2437,
F30,6,78,2205,
F31,11,7,1173,
F32,26,12,3182,
F33,5,33,858,
F34,37,32,615,
F35,41,6,2387,
