Vehicle,Load,Num_v,Ef,Eo
V1,16000,2,0.931,0.586
V2,8000,5,0.635,0.471
V3,4180,0,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,9,0,0,
F1,75,68,1184,
F2,94,19,1552,
F3,47,84,908,
F4,24,72,893,
F5,47,65,699,
F6,47,22,384,
F7,20,15,557,
F8,26,14,1660,
F9,38,44,2822,
F10,75,96,2154,
F11,79,57,2374,
F12,22,36,1683,
F13,53,54,1268,
F14,96,78,678,
F15,91,82,593,
F16,49,70,685,
F17,79,21,1738,
F18,12,55,3793,
F19,43,52,437,
F20,47,97,489,
F21,27,92,628,
F22,35,56,3269,
F23,27,20,374,
F24,25,44,1167,
F25,12,16,958,
F26,40,91,1644,
F27,19,95,827,
F28,67,91,2465,
F29,69,43,1523,
F30,92,85,1503,
F31,84,84,390,
F32,60,88,912,
F33,72,12,346,
F34,28,68,340,
F35,31,13,1070,
F36,93,28,1178,
F37,48,41,1098,
F38,98,75,685,
F39,70,80,555,
F40,42,58,574,
F41,97,60,1550,
F42,13,21,584,
F43,71,47,418,
F44,76,81,1711,
F45,83,63,517,
F46,58,98,1830,
F47,32,71,2137,
F48,57,13,1108,
F49,99,98,594,
F50,43,95,1134,
