Vehicle,Load,Num_v,Ef,Eo
V1,16000,2,0.931,0.586
V2,8000,3,0.635,0.471
V3,4180,0,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,10,17,0,
F1,23,32,1121,
F2,61,27,488,
F3,26,28,1561,
F4,77,24,565,
F5,54,41,369,
F6,63,57,895,
F7,33,47,2351,
F8,11,68,3307,
F9,34,48,386,
F10,65,67,1208,
F11,47,27,787,
F12,20,60,3040,
F13,43,76,307,
F14,57,14,1190,
F15,57,75,2895,
F16,21,59,1113,
F17,31,34,4236,
F18,59,33,384,
F19,61,47,1477,
F20,58,74,320,
F21,14,12,3529,
F22,51,60,321,
F23,13,44,601,
F24,31,51,420,
F25,33,22,876,
F26,22,19,429,
F27,66,23,336,
F28,50,13,1011,
F29,49,30,2065,
F30,64,69,2383,
F31,53,48,1766,
F32,47,60,1623,
F33,55,76,776,
F34,47,18,417,
F35,37,56,665,
