Vehicle,Load,Num_v,Ef,Eo
V1,16000,4,0.931,0.586
V2,8000,3,0.635,0.471
V3,4180,0,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,19,17,0,
F1,76,59,3346,
F2,99,68,801,
F3,99,60,1217,
F4,57,9,2352,
F5,41,6,1362,
F6,19,41,4885,
F7,69,93,895,
F8,27,50,517,
F9,26,86,517,
F10,64,71,792,
F11,13,40,1303,
F12,22,67,2877,
F13,80,87,1743,
F14,11,84,3036,
F15,27,7,2741,
F16,41,20,1024,
F17,76,78,1517,
F18,17,21,1219,
F19,54,55,689,
F20,64,56,485,
F21,59,13,1177,
F22,92,63,701,
F23,52,9,3402,
F24,72,11,947,
F25,29,65,306,
F26,17,8,566,
F27,56,69,596,
F28,77,64,2375,
F29,81,82,1317,
F30,58,92,771,
F31,33,8,691,
F32,25,82,2181,
F33,23,50,683,
F34,57,74,4143,
F35,69,86,1158,
F36,30,74,747,
F37,14,72,931,
F38,96,87,626,
F39,20,52,675,
F40,12,65,641,
F41,30,52,1576,
F42,30,25,696,
F43,61,17,648,
F44,88,89,1282,
F45,32,66,592,
F46,26,18,1080,
F47,15,82,703,
F48,71,55,622,
F49,15,15,473,
F50,21,64,725,
