Vehicle,Load,Num_v,Ef,Eo
V1,16000,1,0.931,0.586
V2,8000,2,0.635,0.471
V3,4180,5,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,19,17,0,
F1,24,55,782,
F2,33,10,660,
F3,13,60,315,
F4,68,62,986,
F5,40,56,2037,
F6,78,53,512,
F7,56,78,804,
F8,16,38,1201,
F9,67,54,3890,
F10,27,19,869,
F11,42,78,1756,
F12,52,8,510,
F13,16,15,397,
F14,68,48,2064,
F15,46,69,1140,
F16,64,68,911,
F17,48,41,562,
F18,47,71,631,
F19,63,58,430,
F20,40,18,1781,
F21,43,54,1162,
F22,38,6,575,
F23,79,47,3340,
F24,25,24,302,
F25,43,69,307,
F26,31,16,728,
F27,28,66,1410,
F28,26,51,1416,
F29,64,70,1374,
F30,24,31,1957,
F31,22,31,1172,
F32,42,16,1169,
F33,73,46,404,
F34,65,50,335,
F35,69,71,2117,
