Vehicle,Load,Num_v,Ef,Eo
V1,16000,3,0.931,0.586
V2,8000,2,0.635,0.471
V3,4180,1,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,14,6,0,
F1,58,17,500,
F2,47,20,493,
F3,23,48,1373,
F4,65,74,930,
F5,50,45,301,
F6,68,27,3402,
F7,38,66,389,
F8,54,66,625,
F9,48,45,4363,
F10,27,65,1200,
F11,40,25,1165,
F12,36,59,665,
F13,73,66,2166,
F14,30,45,2989,
F15,50,20,2574,
F16,68,44,1793,
F17,75,77,739,
F18,40,28,597,
F19,68,60,516,
F20,26,65,848,
F21,60,79,920,
F22,60,47,452,
F23,65,55,2293,
F24,14,42,609,
F25,13,47,2816,
F26,17,30,568,
F27,36,17,717,
F28,77,47,313,
F29,68,54,4285,
F30,70,74,2993,
F31,63,11,2232,
F32,27,66,606,
F33,72,62,999,
F34,19,27,496,
F35,37,73,1197,
